年,月,日,予測気温
2024,1,7,18.518660869004407
2024,1,8,17.75148746761288
2024,1,9,17.406784757827616
2024,1,10,19.07259826329266
2024,1,11,19.769204051583475
2024,1,12,19.598553654607567
2024,1,13,21.70408713536018
2024,1,14,21.550311097280627
2024,1,15,22.345398192523852
2024,1,16,19.529245989185164
2024,1,17,16.09030076547989
2024,1,18,18.472745468781504
2024,1,19,17.068050076270463
2024,1,20,17.84531949670988
2024,1,21,17.202636794436504
2024,1,22,17.91791977795281
2024,1,23,21.077281967112665
2024,1,24,18.97888052641052
2024,1,25,13.682600447519135
2024,1,26,14.305820852102553
2024,1,27,18.40055858614043
2024,1,28,14.834691766943006
2024,1,29,13.305633432675997
2024,1,30,14.402347642420775
2024,1,31,14.408931854446154
2024,2,1,15.521872621312095
2024,2,2,19.64607325428839
2024,2,3,17.526383282541854
2024,2,4,16.47938405166404
2024,2,5,17.594809409969542
2024,2,6,18.606708475036395
2024,2,7,19.674551268473927
2024,2,8,19.950422781707115
2024,2,9,19.41798185056854
2024,2,10,20.49851639022659
2024,2,11,19.74165717364366
2024,2,12,20.32009039402778
2024,2,13,21.881890339314445
2024,2,14,21.584274028215585
2024,2,15,17.33454104753794
2024,2,16,16.937215177761086
2024,2,17,19.074591800030863
2024,2,18,20.213987116337517
2024,2,19,20.511673642774994
2024,2,20,20.438659038616027
2024,2,21,17.250526533671078
2024,2,22,17.132892296926762
2024,2,23,19.614122255267247
2024,2,24,20.56182842907755
2024,2,25,20.075784540800274
2024,2,26,16.750075320198427
2024,2,27,16.580946324569545
2024,2,28,17.700611511112655
2024,3,1,19.146068132570548
2024,3,2,18.86587272514941
2024,3,3,17.350079887998326
2024,3,4,15.880971693715257
2024,3,5,18.192054620805752
2024,3,6,18.35756813992241
2024,3,7,17.89203903689078
2024,3,8,18.528979065292027
2024,3,9,19.297953690804125
2024,3,10,19.3253207595875
2024,3,11,19.854504480397413
2024,3,12,21.16600401925418
2024,3,13,20.444020940312857
2024,3,14,16.91328450512563
2024,3,15,18.55658594982956
2024,3,16,20.80700837928785
2024,3,17,20.402445231473692
2024,3,18,21.37348756691752
2024,3,19,20.1599425221531
2024,3,20,19.364128810481567
2024,3,21,20.839910970970394
2024,3,22,22.59554897890082
2024,3,23,23.102877631148555
2024,3,24,23.623833885450036
2024,3,25,22.862353038320617
2024,3,26,20.5022547374986
2024,3,27,20.107832302640656
